"Animal.ID","Animal.Name","Species","Gender","Date.Of.Birth","Primary.Breed","Secondary.Breed","Declawed","Distinguishing.Markings","Purebred","BodyWeight","BodyWeightUnit","PrimaryColor","SecondaryColor","ColorPattern","Intake.Date","Intake.Type","Intake.Subtype","Reason","Reason.Category"
4618977,"Mulder two","Cat","M","2/14/2008","Domestic Medium Hair","Mix","None","",0,2,"pound","Grey","Orange","Tortoiseshell","04/17/2008 14:53:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
4626806,"Little Girl","Cat","F","4/19/2006","Domestic Shorthair","Mix","Front","",0,8,"pound","Black",NA,NA,"04/18/2008 18:49:00","Owner/Guardian Surrender","Walk In","Other Pet Does Not Like","Misc other"
4712804,"Sugar","Cat","F","11/6/2006","Domestic Shorthair","Mix","Front","",0,10.5,"pound","Grey","White","Tiger","05/07/2008 13:57:00","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
4729409,"Barley","Cat","M","5/12/2001","Domestic Shorthair","Mix","Front","",0,13,"pound","Grey","Tan","Tiger","05/10/2008 15:11:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
4908100,"Bandit","Cat","M","6/10/2007","Domestic Shorthair","Mix","Front","",0,8.5,"pound","Black",NA,NA,"06/09/2008 11:05:00","Stray","Walk In","",NA
5435791,"Kimiko","Cat","F","4/16/2008","Siamese","Mix","None","jap. name meaning ""child without equal""",0,8.25,"pound","Cream","Orange","Point","07/14/2008 17:06:00","Owner/Guardian Surrender","Walk In","Ordered to Surrender","Owner problem"
5537729,"Willie","Cat","M","8/27/2007","Domestic Medium Hair","Mix","None","",0,9.5,"pound","Black","White",NA,"07/22/2008 16:45:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
1107887,"Annie","Cat","F","5/24/2005","Domestic Longhair","Mix","Front","",0,12.75,"pound","Orange","White","Tiger","08/10/2008 13:34:00","Owner/Guardian Surrender","Walk In","No Time for Pet","Owner problem"
5677330,"Sophie","Cat","F","8/15/2007","Domestic Shorthair","Mix","Front","",0,5,"pound","Black","White","Tuxedo","08/14/2008 14:38:00","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
5825850,"Needs One","Cat","M","8/30/2001","Domestic Shorthair","Mix","Front","",0,12,"pound","Black",NA,NA,"08/28/2008 15:07:00","Owner/Guardian Surrender","Walk In","Abandoned","Misc other"
5969423,"Luna","Cat","F","7/6/2008","Domestic Shorthair","","None","",-1,2,"pound","Brown","Black","Tiger","09/04/2008 11:12:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
6419390,"Mr. Cheeks","Cat","M","11/23/2005","Domestic Shorthair","","None","",-1,12,"pound","Orange","White",NA,"11/22/2008 10:26:00","Owner/Guardian Surrender","Walk In","Abandoned","Misc other"
7082545,"Mittens","Cat","F","1/25/2003","Domestic Shorthair","Mix","Front","",0,8.75,"pound","Black","White",NA,"01/23/2009 12:09:00","Owner/Guardian Surrender","Walk In","Divorce","Owner problem"
7169295,"Josie","Cat","F","2/14/2000","Domestic Medium Hair","Mix","Both","",0,NA,NA,"Black","Orange","Calico","02/11/2009 13:09:00","Transfer In","Animal Control","Stray","Misc other"
7375521,"Kitten","Cat","F","1/20/2009","Manx","Mix","None","",0,2.5,"pound","Grey","Black","Tiger","03/26/2009 11:37:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
7434077,"Crystal","Cat","F","4/9/2001","Manx","Domestic Shorthair","Front","",0,10,"pound","Grey",NA,NA,"04/07/2009 14:04:00","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
7703751,"Mickey (was Ernie)","Cat","M","3/15/2009","Domestic Shorthair","Mix","None","",0,2,"pound","Orange","White",NA,"05/24/2009 13:54:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
7779961,"Odie","Cat","M","6/6/2007","Domestic Shorthair","Mix","Front","",0,21,"pound","Brown","Black","Tiger","06/05/2009 12:26:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
7786525,"Jasmine","Cat","F","6/7/2004","Domestic Medium Hair","Mix","Front","White Bib",0,11.5,"pound","Brown",NA,"Tiger","06/07/2009 11:28:00","Owner/Guardian Surrender","Schedule","Owner Problems","Owner problem"
8038125,"Corrie","Cat","F","5/24/2009","Domestic Shorthair","Mix","None","",0,3.75,"pound","Black","Orange","Tortoiseshell","07/12/2009 11:24:00","Owner/Guardian Surrender","Walk In","Abandoned","Misc other"
8041828,"Tazza","Cat","F","7/14/2007","Domestic Shorthair","Mix","Front","",0,9.5,"pound","White","Grey",NA,"07/13/2009 11:59:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
8109944,"Simon","Cat","M","5/28/2009","Domestic Shorthair","Mix","None","",0,2.75,"pound","Black","White",NA,"07/23/2009 13:14:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
8379698,"King James Turner","Cat","M","7/6/2009","Domestic Shorthair","Mix","None","",0,1.75,"pound","Black","White",NA,"09/04/2009 14:56:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
9055773,"Taco Belle","Cat","F","5/4/2008","Domestic Shorthair","Mix","Front","I'm a Private Investigator",0,8.5,"pound","Orange",NA,"Tiger","11/03/2009 14:28:00","Owner/Guardian Surrender","Walk In","Fearful","Behavior other"
9014835,"kitty","Cat","F","6/30/2009","Domestic Shorthair","Mix","None","",0,3,"pound","Grey","White",NA,"11/16/2009 14:41:52","Return","Walk In","Owner Problems","Owner problem"
9177537,"Willow","Cat","F","11/25/2008","Domestic Shorthair","Mix","None","",0,7.75,"pound","Black","Orange","Tortoiseshell","11/25/2009 12:46:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
9270145,"Tigger","Cat","M","12/15/2007","Domestic Shorthair","Mix","None","I'm a Leader of the band.",0,10,"pound","Brown",NA,"Tiger","12/13/2009 13:52:00","Stray","Walk In","",NA
9468909,"Spencer","Cat","M","1/19/1999","Domestic Shorthair","Mix","Front","",0,NA,NA,"White","Grey","Tabby","01/16/2010 11:57:00","Owner/Guardian Surrender","Walk In","No Facility for Pet","Owner problem"
8976283,"Maggie","Cat","F","10/21/2006","Domestic Longhair","Mix","Front","I'm a Personal Assistant",0,11,"pound","Black","Orange",NA,"02/06/2010 14:51:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
9753390,"Jack","Cat","M","1/14/2010","Domestic Shorthair","Mix","None","",0,1.25,"pound","Grey","Black","Tiger","02/18/2010 13:03:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
10195600,"Cali","Cat","F","10/14/2006","Domestic Shorthair","Mix","None","",0,9.5,"pound","Black","Orange","Calico","04/14/2010 13:16:00","Owner/Guardian Surrender","Schedule","Too Many Pets","Owner problem"
10255995,"Little Kitten","Cat","F","6/25/2009","Domestic Shorthair","Mix","None","",0,6,"pound","Black",NA,NA,"04/21/2010 13:07:00","Owner/Guardian Surrender","Walk In","Stray","Misc other"
10710095,"Tobey","Cat","F","6/10/2005","Domestic Shorthair","Mix","Front","",0,7.25,"pound","Black","Orange","Tortoiseshell","06/10/2010 11:21:00","Owner/Guardian Surrender","Schedule","Divorce","Owner problem"
10749541,"Rajah","Cat","M","6/16/2006","Domestic Shorthair","Mix","Front","",0,12.25,"pound","Buff",NA,NA,"06/15/2010 11:14:00","Owner/Guardian Surrender","Walk In","Divorce","Owner problem"
10834576,"Clark","Cat","M","6/29/2007","Domestic Shorthair","Mix","None","",0,NA,NA,"Orange","White","Tiger","06/26/2010 15:05:00","Stray","Walk In","",NA
10854603,"Luna","Cat","F","6/30/2007","Domestic Shorthair","Mix","Front","",0,13,"pound","Black","Orange","Tortoiseshell","06/29/2010 16:39:00","Owner/Guardian Surrender","Walk In","Divorce","Owner problem"
10850511,"Skipper","Cat","M","7/1/2000","Domestic Shorthair","Mix","Front","I am a Sidekick",0,10.25,"pound","Buff",NA,"Tiger","06/30/2010 15:54:00","Owner/Guardian Surrender","Schedule","Moving","Owner problem"
10866405,"Jack Brown","Cat","M","9/4/2009","Domestic Shorthair","Mix","None","I'm a Personal Assistant",0,10.5,"pound","Black",NA,NA,"07/01/2010 11:23:00","Owner/Guardian Surrender","Walk In","Landlord Does Not Allow","Owner problem"
